Сверка 1.xlsx, лист Sheet1. Номера строк — номера строк Excel, не № п/п.
Сопоставление: входящий платёж (F, кредит) и расходный ордер (E, дебет), одинаковая сумма до копейки. Даты не ограничены. Совпадение суммы само по себе не подтверждает связь документов.
Однозначные пары по сумме: 274. Группы с повторяющимися суммами: 0. Без точного совпадения: платежей 9, ордеров 21.

ТОЧНЫЕ ОДНОЗНАЧНЫЕ ПАРЫ
Строка платежа | Строка ордера | Сумма, руб. | Документ платежа | Документ ордера
2268 | 2379 | 24707,10 | Входящий платёж (17.10.25, № 18377) | Расходный ордер (24.12.25, № 33839)
2274 | 2382 | 49124,50 | Входящий платёж (20.10.25, № 18399) | Расходный ордер (24.12.25, № 33841)
2277 | 2386 | 35480,20 | Входящий платёж (21.10.25, № 18409) | Расходный ордер (24.12.25, № 33843)
2282 | 2389 | 38251,20 | Входящий платёж (23.10.25, № 18428) | Расходный ордер (24.12.25, № 33845)
2288 | 2395 | 7623,70 | Входящий платёж (27.10.25, № 18460) | Расходный ордер (24.12.25, № 33847)
2291 | 2398 | 47664,30 | Входящий платёж (29.10.25, № 18478) | Расходный ордер (24.12.25, № 33849)
2294 | 2404 | 14159,40 | Входящий платёж (31.10.25, № 18497) | Расходный ордер (24.12.25, № 33851)
2300 | 2415 | 243599,98 | Входящий платёж (10.11.25, № 18574) | Расходный ордер (24.12.25, № 33853)
2301 | 2419 | 67667,60 | Входящий платёж (11.11.25, № 18585) | Расходный ордер (24.12.25, № 33855)
2316 | 2422 | 44500,61 | Входящий платёж (25.11.25, № 18704) | Расходный ордер (24.12.25, № 33857)
2320 | 2428 | 22708,20 | Входящий платёж (27.11.25, № 18719) | Расходный ордер (24.12.25, № 33859)
2331 | 2434 | 14015,80 | Входящий платёж (02.12.25, № 18764) | Расходный ордер (24.12.25, № 33863)
2332 | 2433 | 2934,00 | Входящий платёж (02.12.25, № 18765) | Расходный ордер (24.12.25, № 33861)
2335 | 2440 | 4761,80 | Входящий платёж (04.12.25, № 18781) | Расходный ордер (24.12.25, № 33867)
2336 | 2437 | 10344,00 | Входящий платёж (04.12.25, № 18782) | Расходный ордер (24.12.25, № 33865)
2343 | 2445 | 69470,20 | Входящий платёж (08.12.25, № 18816) | Расходный ордер (24.12.25, № 33869)
2346 | 2448 | 32994,72 | Входящий платёж (09.12.25, № 18827) | Расходный ордер (24.12.25, № 33872)
2359 | 2455 | 14396,80 | Входящий платёж (15.12.25, № 18878) | Расходный ордер (24.12.25, № 33874)
2360 | 2456 | 46374,00 | Входящий платёж (16.12.25, № 18886) | Расходный ордер (24.12.25, № 33876)
2364 | 2461 | 47253,15 | Входящий платёж (17.12.25, № 18901) | Расходный ордер (24.12.25, № 33878)
2365 | 2468 | 7954,80 | Входящий платёж (18.12.25, № 18913) | Расходный ордер (24.12.25, № 33881)
2367 | 2470 | 8010,80 | Входящий платёж (19.12.25, № 18923) | Расходный ордер (24.12.25, № 33885)
2368 | 2474 | 99655,50 | Входящий платёж (22.12.25, № 18945) | Расходный ордер (24.12.25, № 33887)
2371 | 2477 | 49419,10 | Входящий платёж (24.12.25, № 18969) | Расходный ордер (24.12.25, № 33889)
2488 | 2533 | 37174,40 | Входящий платёж (26.12.25, № 18989) | Расходный ордер (11.02.26, № 34466)
2495 | 2537 | 13977,80 | Входящий платёж (31.12.25, № 19032) | Расходный ордер (11.02.26, № 34468)
2501 | 2541 | 110318,40 | Входящий платёж (13.01.26, № 19125) | Расходный ордер (11.02.26, № 34471)
2503 | 2553 | 9609,60 | Входящий платёж (15.01.26, № 19142) | Расходный ордер (11.02.26, № 34473)
2505 | 2554 | 7390,40 | Входящий платёж (16.01.26, № 19150) | Расходный ордер (11.02.26, № 34475)
2510 | 2557 | 5805,60 | Входящий платёж (20.01.26, № 19181) | Расходный ордер (11.02.26, № 34477)
2518 | 2558 | 50589,60 | Входящий платёж (28.01.26, № 19246) | Расходный ордер (11.02.26, № 34479)
2519 | 2564 | 14753,20 | Входящий платёж (29.01.26, № 19256) | Расходный ордер (11.02.26, № 34481)
2521 | 2566 | 11779,20 | Входящий платёж (30.01.26, № 19264) | Расходный ордер (11.02.26, № 34483)
2524 | 2568 | 28038,00 | Входящий платёж (03.02.26, № 19297) | Расходный ордер (11.02.26, № 34485)
2525 | 2571 | 16888,00 | Входящий платёж (05.02.26, № 19314) | Расходный ордер (11.02.26, № 34487)
2528 | 2574 | 23620,80 | Входящий платёж (09.02.26, № 19344) | Расходный ордер (11.02.26, № 34491)
2530 | 2579 | 27108,80 | Входящий платёж (10.02.26, № 19354) | Расходный ордер (11.02.26, № 34493)
2563 | 2573 | 15722,00 | Входящий платёж (11.02.26, № 19365) | Расходный ордер (11.02.26, № 34489)
2584 | 2754 | 27434,80 | Входящий платёж (17.02.26, № 19410) | Расходный ордер (02.09.26, № 36404)
2585 | 2756 | 16344,00 | Входящий платёж (19.02.26, № 19426) | Расходный ордер (11.09.26, № 36522)
2593 | 2758 | 23486,00 | Входящий платёж (26.02.26, № 19481) | Расходный ордер (11.09.26, № 36523)
2595 | 2761 | 9387,20 | Входящий платёж (27.02.26, № 19491) | Расходный ордер (11.09.26, № 36525)
2600 | 2768 | 18028,20 | Входящий платёж (05.03.26, № 19538) | Расходный ордер (11.09.26, № 36528)
2603 | 2769 | 35574,00 | Входящий платёж (11.03.26, № 19583) | Расходный ордер (11.09.26, № 36530)
2604 | 2772 | 15364,80 | Входящий платёж (12.03.26, № 19590) | Расходный ордер (11.09.26, № 36533)
2607 | 2773 | 6704,00 | Входящий платёж (17.03.26, № 19631) | Расходный ордер (11.09.26, № 36534)
2613 | 2779 | 29537,09 | Входящий платёж (26.03.26, № 19707) | Расходный ордер (11.09.26, № 36539)
2615 | 2782 | 12629,97 | Входящий платёж (27.03.26, № 19716) | Расходный ордер (11.09.26, № 36540)
2617 | 2784 | 10622,17 | Входящий платёж (30.03.26, № 19737) | Расходный ордер (11.09.26, № 36542)
2623 | 2786 | 15329,74 | Входящий платёж (02.04.26, № 19765) | Расходный ордер (11.09.26, № 36544)
2629 | 2788 | 5760,72 | Входящий платёж (07.04.26, № 19801) | Расходный ордер (11.09.26, № 36546)
2630 | 2790 | 16864,99 | Входящий платёж (08.04.26, № 19810) | Расходный ордер (11.09.26, № 36548)
2631 | 2793 | 21801,35 | Входящий платёж (09.04.26, № 19817) | Расходный ордер (11.09.26, № 36550)
2636 | 2794 | 38538,06 | Входящий платёж (13.04.26, № 19845) | Расходный ордер (11.09.26, № 36552)
2637 | 2798 | 35683,43 | Входящий платёж (14.04.26, № 19854) | Расходный ордер (11.09.26, № 36554)
2640 | 2801 | 23383,52 | Входящий платёж (15.04.26, № 19855) | Расходный ордер (11.09.26, № 36556)
2641 | 2891 | 11594,43 | Входящий платёж (16.04.26, № 19869) | Расходный ордер (11.09.26, № 36619)
2647 | 2893 | 10872,17 | Входящий платёж (20.04.26, № 19897) | Расходный ордер (11.09.26, № 36621)
2648 | 2803 | 14977,46 | Входящий платёж (21.04.26, № 19907) | Расходный ордер (11.09.26, № 36558)
2649 | 2805 | 6718,31 | Входящий платёж (22.04.26, № 19915) | Расходный ордер (11.09.26, № 36560)
2651 | 2807 | 20010,06 | Входящий платёж (23.04.26, № 19924) | Расходный ордер (11.09.26, № 36562)
2652 | 2810 | 24433,97 | Входящий платёж (24.04.26, № 19932) | Расходный ордер (11.09.26, № 36564)
2658 | 2899 | 21361,25 | Входящий платёж (27.04.26, № 19933) | Расходный ордер (11.09.26, № 36625)
2661 | 2894 | 39076,63 | Входящий платёж (28.04.26, № 19960) | Расходный ордер (11.09.26, № 36623)
2670 | 2819 | 62157,42 | Входящий платёж (06.05.26, № 20016) | Расходный ордер (11.09.26, № 36566)
2671 | 2820 | 7296,00 | Входящий платёж (07.05.26, № 20024) | Расходный ордер (11.09.26, № 36568)
2672 | 2821 | 10000,00 | Входящий платёж (08.05.26, № 20032) | Расходный ордер (11.09.26, № 36570)
2674 | 2902 | 18619,20 | Входящий платёж (11.05.26, № 20053) | Расходный ордер (11.09.26, № 36627)
2677 | 2822 | 25739,20 | Входящий платёж (14.05.26, № 20080) | Расходный ордер (11.09.26, № 36571)
2683 | 2825 | 15305,60 | Входящий платёж (21.05.26, № 20141) | Расходный ордер (11.09.26, № 36573)
2690 | 2829 | 44115,00 | Входящий платёж (25.05.26, № 20170) | Расходный ордер (11.09.26, № 36575)
2691 | 2832 | 18069,20 | Входящий платёж (26.05.26, № 20182) | Расходный ордер (11.09.26, № 36577)
2692 | 2834 | 8696,00 | Входящий платёж (27.05.26, № 20190) | Расходный ордер (11.09.26, № 36579)
2695 | 2836 | 4953,20 | Входящий платёж (29.05.26, № 20207) | Расходный ордер (11.09.26, № 36581)
2700 | 2838 | 24756,80 | Входящий платёж (02.06.26, № 20238) | Расходный ордер (11.09.26, № 36583)
2701 | 2846 | 18680,00 | Входящий платёж (04.06.26, № 20257) | Расходный ордер (11.09.26, № 36587)
2705 | 2848 | 11527,20 | Входящий платёж (09.06.26, № 20295) | Расходный ордер (11.09.26, № 36589)
2708 | 2851 | 27640,00 | Входящий платёж (11.06.26, № 20311) | Расходный ордер (11.09.26, № 36591)
2709 | 2857 | 55376,00 | Входящий платёж (12.06.26, № 20320) | Расходный ордер (11.09.26, № 36595)
2714 | 2853 | 22510,00 | Входящий платёж (16.06.26, № 20355) | Расходный ордер (11.09.26, № 36593)
2716 | 2777 | 8496,00 | Входящий платёж (17.06.26, № 20365) | Расходный ордер (11.09.26, № 36536)
2721 | 2859 | 20817,20 | Входящий платёж (23.06.26, № 20410) | Расходный ордер (11.09.26, № 36597)
2722 | 2906 | 39697,20 | Входящий платёж (26.06.26, № 20418) | Расходный ордер (11.09.26, № 36629)
2726 | 2863 | 53715,60 | Входящий платёж (30.06.26, № 20452) | Расходный ордер (11.09.26, № 36599)
2736 | 2868 | 9000,00 | Входящий платёж (07.07.26, № 20505) | Расходный ордер (11.09.26, № 36601)
2738 | 2870 | 20135,60 | Входящий платёж (09.07.26, № 20520) | Расходный ордер (11.09.26, № 36603)
2739 | 2873 | 32876,60 | Входящий платёж (10.07.26, № 20531) | Расходный ордер (11.09.26, № 36605)
2740 | 2875 | 33534,93 | Входящий платёж (14.07.26, № 20562) | Расходный ордер (11.09.26, № 36607)
2742 | 2881 | 17307,52 | Входящий платёж (16.07.26, № 20577) | Расходный ордер (11.09.26, № 36611)
2743 | 2884 | 34664,40 | Входящий платёж (17.07.26, № 20585) | Расходный ордер (11.09.26, № 36613)
2748 | 2886 | 53446,40 | Входящий платёж (04.08.26, № 20715) | Расходный ордер (11.09.26, № 36615)
2749 | 2890 | 4564,00 | Входящий платёж (12.08.26, № 20775) | Расходный ордер (11.09.26, № 36617)

ПОВТОРЯЮЩИЕСЯ СУММЫ — ВЫБОР ПАРЫ ТРЕБУЕТ ПРОВЕРКИ

ВХОДЯЩИЕ ПЛАТЕЖИ БЕЗ ТОЧНОГО СОВПАДЕНИЯ
190 | 527598.9 | Входящий платёж (26.12.23, № 12441)
213 | 19838.45 | Входящий платёж (16.01.24, № 12611)
491 | 14133.75 | Входящий платёж (04.04.24, № 13389)
546 | 5466.5 | Входящий платёж (24.05.24, № 13880)
1933 | 20234.3 | Входящий платёж (14.07.25, № 17503)
2055 | 158171.14 | Входящий платёж (15.08.25, № 17804)
2149 | 75951.71 | Входящий платёж (10.10.25, № 18308)
2715 | 118800 | Входящий платёж (17.06.26, № 20364)
2745 | 3588 | Входящий платёж (28.07.26, № 20664)

РАСХОДНЫЕ ОРДЕРА БЕЗ ТОЧНОГО СОВПАДЕНИЯ
424 | 527599 | Расходный ордер (22.02.24, № 23822)
596 | 19839 | Расходный ордер (30.05.24, № 25517)
695 | 4000 | Расходный ордер (03.07.24, № 26023)
715 | 5770 | Расходный ордер (03.07.24, № 26036)
734 | 1999 | Расходный ордер (03.07.24, № 26045)
757 | 14134.11 | Расходный ордер (03.07.24, № 26062)
773 | 10999 | Расходный ордер (03.07.24, № 26072)
795 | 100573 | Расходный ордер (03.07.24, № 26090)
805 | 5466.3 | Расходный ордер (03.07.24, № 26091)
1470 | 3739 | Расходный ордер (31.03.25, № 30629)
1490 | 3082 | Расходный ордер (31.03.25, № 30634)
1554 | 7662 | Расходный ордер (31.03.25, № 30648)
1786 | 4890 | Расходный ордер (23.05.25, № 31156)
1831 | 33650 | Расходный ордер (18.06.25, № 31429)
1841 | 12910 | Расходный ордер (18.06.25, № 31436)
2169 | 158171.15 | Расходный ордер (16.10.25, № 32936)
2253 | 75951.7 | Расходный ордер (16.10.25, № 32978)
2753 | 19166 | Расходный ордер (02.09.26, № 36403)
2767 | 13939 | Расходный ордер (11.09.26, № 36527)
2841 | 118800.8 | Расходный ордер (11.09.26, № 36585)
2880 | 3588.8 | Расходный ордер (11.09.26, № 36609)
